"site_id","sample_id","site_code","day","month","year","date","latitude","longitude","waterbody_name","waterbody_type","state","river_type","eqr","eqc","dipt_spp_rich","dipt_fam_rich","dipt_abund","vec_rich","vec_fam_rich","vec_abund"
"LTR1182","LTR1182_28.9.2010","LTR1182_2010","28","9","2010","28/9/2010","54.56128058","23.69679031","Nemunas","river","N","1",NA,NA,4,4,26,1,1,7
"LTR1182","LTR1182_10.10.2016","LTR1182_2016","10","10","2016","10/10/2016","54.56128058","23.69679031","Nemunas","river","HM","1",0.54,"Good",1,1,147,0,0,0
"LTR1182","LTR1182_5.10.2022","LTR1182_2022","5","10","2022","5/10/2022","54.56128058","23.69679031","Nemunas","river","HM","1",0.47,"Moderate",1,1,1,0,0,0
"LTR1192","LTR1192_4.10.2010","LTR1192_2010","4","10","2010","4/10/2010","55.53557762","25.54668975","Nemunas","river","N","2",NA,NA,2,2,45,0,0,0
"LTR1192","LTR1192_18.9.2012","LTR1192_2012","18","9","2012","18/9/2012","55.53557762","25.54668975","Nemunas","river","N","2",NA,NA,4,3,87,1,1,30
"LTR1192","LTR1192_27.9.2016","LTR1192_2016","27","9","2016","27/9/2016","55.53557762","25.54668975","Nemunas","river","N","2",0.64,"Good",4,4,78,1,1,11
"LTR1192","LTR1192_18.9.2019","LTR1192_2019","18","9","2019","18/9/2019","55.53557762","25.54668975","Nemunas","river","N","2",0.47,"Moderate",1,1,24,0,0,0
"LTR1192","LTR1192_20.9.2022","LTR1192_2022","20","9","2022","20/9/2022","55.53557762","25.54668975","Nemunas","river","N","2",0.74,"Good",5,4,35,1,1,22
"LTR1213","LTR1213_3.10.2019","LTR1213_2019","3","10","2019","3/10/2019","56.4012","22.3637","Venta","river","N","2",0.67,"Good",3,3,18,1,1,4
"LTR1225","LTR1225_1.10.2015","LTR1225_2015","1","10","2015","1/10/2015","55.32212959","24.3694978","Nemunas","river","HM","1",0.59,"Good",2,2,20,0,0,0
"LTR1225","LTR1225_10.10.2018","LTR1225_2018","10","10","2018","10/10/2018","55.32212959","24.3694978","Nemunas","river","HM","1",0.36,"Moderate",1,1,19,0,0,0
"LTR1225","LTR1225_12.10.2022","LTR1225_2022","12","10","2022","12/10/2022","55.32212959","24.3694978","Nemunas","river","HM","1",0.41,"Moderate",2,2,10,0,0,0
"LTR1236","LTR1236_3.11.2010","LTR1236_2010","3","11","2010","3/11/2010","55.6556","21.8252","Nemunas","river","N","1",NA,NA,2,2,27,0,0,0
"LTR1236","LTR1236_12.10.2015","LTR1236_2015","12","10","2015","12/10/2015","55.6556","21.8252","Nemunas","river","HM","1",0.83,"High",7,7,16,0,0,0
"LTR1236","LTR1236_25.9.2019","LTR1236_2019","25","9","2019","25/9/2019","55.6556","21.8252","Nemunas","river","HM","1",0.61,"Good",4,4,58,1,1,3
"LTR1241","LTR1241_4.10.2012","LTR1241_2012","4","10","2012","4/10/2012","55.6193","21.9973","Nemunas","river","N","3",NA,NA,5,5,84,1,1,3
"LTR1241","LTR1241_12.10.2015","LTR1241_2015","12","10","2015","12/10/2015","55.6193","21.9973","Nemunas","river","N","3",0.88,"High",8,7,110,1,1,12
"LTR1241","LTR1241_25.9.2019","LTR1241_2019","25","9","2019","25/9/2019","55.6193","21.9973","Nemunas","river","N","3",0.57,"Moderate",1,1,23,0,0,0
"LTR1249","LTR1249_25.9.2013","LTR1249_2013","25","9","2013","25/9/2013","55.6869","24.1623","Nemunas","river","N","4",0.7143,"Good",5,5,22,2,2,2
"LTR1249","LTR1249_30.9.2015","LTR1249_2015","30","9","2015","30/9/2015","55.6869","24.1623","Nemunas","river","N","5",0.61,"Good",3,3,67,1,1,4
"LTR1249","LTR1249_1.10.2018","LTR1249_2018","1","10","2018","1/10/2018","55.6869","24.1623","Nemunas","river","N","5",0.54,"Moderate",3,2,28,0,0,0
"LTR1249","LTR1249_27.9.2021","LTR1249_2021","27","9","2021","27/9/2021","55.6869","24.1623","Nemunas","river","N","5",0.56,"Moderate",1,1,6,0,0,0
"LTR1252","LTR1252_23.9.2011","LTR1252_2011","23","9","2011","23/9/2011","55.4868","24.1269","Nemunas","river","N","1",NA,NA,5,5,15,1,1,2
"LTR1252","LTR1252_9.10.2014","LTR1252_2014","9","10","2014","9/10/2014","55.4868","24.1269","Nemunas","river","HM","1",0.7,"Good",6,5,51,2,2,25
"LTR1252","LTR1252_4.10.2018","LTR1252_2018","4","10","2018","4/10/2018","55.4868","24.1269","Nemunas","river","HM","1",0.5,"Good",1,1,17,0,0,0
"LTR1252","LTR1252_28.9.2021","LTR1252_2021","28","9","2021","28/9/2021","55.4868","24.1269","Nemunas","river","HM","1",0.46,"Moderate",2,1,22,0,0,0
"LTR1253","LTR1253_9.10.2012","LTR1253_2012","9","10","2012","9/10/2012","55.56864826","24.52885643","Nemunas","river","N","1",NA,NA,4,4,15,1,1,1
"LTR1254","LTR1254_9.10.2012","LTR1254_2012","9","10","2012","9/10/2012","55.5514","24.4687","Nemunas","river","HM","1",NA,NA,1,1,46,0,0,0
"LTR1254","LTR1254_8.10.2015","LTR1254_2015","8","10","2015","8/10/2015","55.5514","24.4687","Nemunas","river","HM","1",0.48,"Moderate",1,1,78,0,0,0
"LTR1254","LTR1254_8.10.2018","LTR1254_2018","8","10","2018","8/10/2018","55.5514","24.4687","Nemunas","river","HM","1",0.42,"Moderate",1,1,47,0,0,0
"LTR1254","LTR1254_29.9.2021","LTR1254_2021","29","9","2021","29/9/2021","55.5514","24.4687","Nemunas","river","HM","1",0.71,"Good",3,3,42,0,0,0
"LTR1256","LTR1256_8.10.2012","LTR1256_2012","8","10","2012","8/10/2012","55.6897","24.5887","Nemunas","river","N","3",NA,NA,2,2,23,1,1,1
"LTR1256","LTR1256_8.10.2015","LTR1256_2015","8","10","2015","8/10/2015","55.6897","24.5887","Nemunas","river","N","3",0.83,"High",1,1,2,0,0,0
"LTR1256","LTR1256_8.10.2018","LTR1256_2018","8","10","2018","8/10/2018","55.6897","24.5887","Nemunas","river","N","3",0.55,"Moderate",2,2,19,0,0,0
"LTR1256","LTR1256_29.9.2021","LTR1256_2021","29","9","2021","29/9/2021","55.6897","24.5887","Nemunas","river","N","3",0.6,"Good",3,3,12,0,0,0
"LTR127","LTR127_13.10.2010","LTR127_2010","13","10","2010","13/10/2010","55.2913","21.3772","Nemunas","river","N","4",NA,NA,1,1,13,0,0,0
"LTR127","LTR127_14.9.2011","LTR127_2011","14","9","2011","14/9/2011","55.2913","21.3772","Nemunas","river","N","4",NA,NA,2,2,33,0,0,0
"LTR127","LTR127_12.9.2012","LTR127_2012","12","9","2012","12/9/2012","55.2913","21.3772","Nemunas","river","N","4",NA,NA,1,1,10,0,0,0
"LTR127","LTR127_30.9.2013","LTR127_2013","30","9","2013","30/9/2013","55.2913","21.3772","Nemunas","river","N","5",0.2857,"Bad",2,2,51,1,1,4
"LTR127","LTR127_15.10.2014","LTR127_2014","15","10","2014","15/10/2014","55.2913","21.3772","Nemunas","river","N","4",0.33,"Poor",3,2,47,1,1,4
